Country Name,Country Code,Year,ICT Service Imports (%),ICT Service Exports,Service Imports,Calculated ICT Service Imports,ICT_Exp-Imp,Cloud_Revenue_pC,Cloud_Companies_pP
Armenia,ARM,2022,9.59877540004126,711382753.370889,2724654250.31598,261533441.91550893,449849311.45538,3.831243663818612,1.023890784982935
Armenia,ARM,2023,9.16522903090293,1073974781.09185,3767132748.33253,345266344.28282446,728708436.8090255,10.93388156250129,1.012145748987854
Armenia,ARM,2024,9.91961369592975,1180569273.47633,4391818729.08913,435651452.1511333,744917821.3251967,13.29748634249462,1.012145748987854
Australia,AUS,2018,32.0637084635517,2321690668.311438,79222451148.70949,25401655774.00188,-23079965105.69044,127.590962092803,23.42320846257854
Australia,AUS,2019,34.0329034859602,2330448639.86354,77214696629.1055,26278403180.76044,-23947954540.8969,169.7040681203967,23.78526645768025
Australia,AUS,2020,59.1544008922076,1942297195.14538,46575572126.7523,27551500653.69836,-25609203458.55298,228.0822416112487,24.11142756817916
Australia,AUS,2021,64.9388814914391,2381789910.05509,50032935787.5416,32490828877.759464,-30109038967.704376,306.2032896637447,24.17445966396337
Australia,AUS,2022,43.2193167347833,2176001377.90262,79551478163.378,34381605314.63231,-32205603936.72969,387.3159596763075,23.67650971002926
Australia,AUS,2023,38.0479538893642,2482079648.5613,101268882066.359,38530737552.88288,-36048657904.32158,760.6499049354916,23.22733850320953
Australia,AUS,2024,38.5361207071122,2518877124.82042,109208801412.82,42084835535.23477,-39565958410.41435,859.3475483706311,23.08089373939975
Austria,AUT,2018,46.2828745143355,7760825846.94139,64257863625.35705,29740386387.31684,-21979560540.37545,40.7931788861254,4.614518851997749
Austria,AUT,2019,47.7518058203391,8506744627.24557,66089827232.4667,31559085967.04509,-23052341339.79952,61.36935225249309,4.853820973021786
Austria,AUT,2020,55.5197789458806,8962945639.39981,56033831252.3939,31109859246.23685,-22146913606.83704,91.61966491486962,5.167958656330749
Austria,AUT,2021,52.6668771268449,9997975336.21934,67282625334.3435,35435657612.55411,-25437682276.33477,136.9525253146979,5.373936408419167
